MQ3:186, MQ135:1914, MQ138:3011, MQ131:1096, TGS2602:903
MQ3:187, MQ135:1922, MQ138:3011, MQ131:1103, TGS2602:902
MQ3:189, MQ135:2002, MQ138:3009, MQ131:1110, TGS2602:898
MQ3:190, MQ135:1952, MQ138:3007, MQ131:1107, TGS2602:895
MQ3:190, MQ135:2005, MQ138:3007, MQ131:1112, TGS2602:892
MQ3:190, MQ135:2005, MQ138:3008, MQ131:1114, TGS2602:889
MQ3:189, MQ135:1907, MQ138:3010, MQ131:1114, TGS2602:889
MQ3:188, MQ135:1961, MQ138:3011, MQ131:1110, TGS2602:886
MQ3:186, MQ135:1914, MQ138:3011, MQ131:1105, TGS2602:883
MQ3:185, MQ135:1993, MQ138:3008, MQ131:1102, TGS2602:881
MQ3:184, MQ135:1990, MQ138:3011, MQ131:1099, TGS2602:880
MQ3:182, MQ135:1941, MQ138:3008, MQ131:1098, TGS2602:878
MQ3:182, MQ135:1916, MQ138:3011, MQ131:1096, TGS2602:874
MQ3:182, MQ135:1958, MQ138:3005, MQ131:1094, TGS2602:871
MQ3:182, MQ135:2006, MQ138:3006, MQ131:1094, TGS2602:870
MQ3:181, MQ135:2004, MQ138:3007, MQ131:1102, TGS2602:867
MQ3:180, MQ135:1942, MQ138:3011, MQ131:1102, TGS2602:866
MQ3:181, MQ135:1960, MQ138:3007, MQ131:1099, TGS2602:863
MQ3:179, MQ135:1939, MQ138:3008, MQ131:1097, TGS2602:863
MQ3:179, MQ135:1909, MQ138:3007, MQ131:1096, TGS2602:861
MQ3:178, MQ135:1913, MQ138:3005, MQ131:1095, TGS2602:860
MQ3:176, MQ135:1942, MQ138:3007, MQ131:1092, TGS2602:859
MQ3:178, MQ135:1990, MQ138:3009, MQ131:1090, TGS2602:860
MQ3:176, MQ135:1956, MQ138:3010, MQ131:1090, TGS2602:857
MQ3:176, MQ135:1910, MQ138:3008, MQ131:1091, TGS2602:857
MQ3:178, MQ135:2012, MQ138:3007, MQ131:1088, TGS2602:856
MQ3:175, MQ135:2016, MQ138:3011, MQ131:1089, TGS2602:854
MQ3:177, MQ135:1993, MQ138:3006, MQ131:1090, TGS2602:851
MQ3:177, MQ135:1984, MQ138:3010, MQ131:1087, TGS2602:848
MQ3:176, MQ135:1950, MQ138:3004, MQ131:1097, TGS2602:845
MQ3:176, MQ135:2007, MQ138:3007, MQ131:1102, TGS2602:842
MQ3:175, MQ135:2006, MQ138:3005, MQ131:1106, TGS2602:841
MQ3:177, MQ135:2011, MQ138:3006, MQ131:1107, TGS2602:838
MQ3:176, MQ135:1993, MQ138:3007, MQ131:1107, TGS2602:838
MQ3:176, MQ135:1911, MQ138:3009, MQ131:1107, TGS2602:837
MQ3:176, MQ135:2020, MQ138:3007, MQ131:1105, TGS2602:836
MQ3:174, MQ135:1911, MQ138:3007, MQ131:1101, TGS2602:836
MQ3:174, MQ135:2016, MQ138:3008, MQ131:1098, TGS2602:835
MQ3:174, MQ135:1913, MQ138:3006, MQ131:1096, TGS2602:835
MQ3:173, MQ135:1965, MQ138:3004, MQ131:1096, TGS2602:838
MQ3:173, MQ135:1980, MQ138:3008, MQ131:1094, TGS2602:836
MQ3:172, MQ135:1944, MQ138:3005, MQ131:1094, TGS2602:836
MQ3:171, MQ135:1985, MQ138:3005, MQ131:1090, TGS2602:836
MQ3:172, MQ135:1988, MQ138:3008, MQ131:1091, TGS2602:836
MQ3:171, MQ135:2001, MQ138:3009, MQ131:1090, TGS2602:836
MQ3:172, MQ135:1911, MQ138:3008, MQ131:1089, TGS2602:836
MQ3:171, MQ135:2007, MQ138:3004, MQ131:1089, TGS2602:838
MQ3:172, MQ135:1999, MQ138:3007, MQ131:1089, TGS2602:833
MQ3:171, MQ135:1924, MQ138:3007, MQ131:1100, TGS2602:834
MQ3:171, MQ135:1918, MQ138:3010, MQ131:1111, TGS2602:834
MQ3:173, MQ135:2006, MQ138:3008, MQ131:1108, TGS2602:831
MQ3:173, MQ135:2005, MQ138:3010, MQ131:1110, TGS2602:832
MQ3:172, MQ135:1923, MQ138:3008, MQ131:1117, TGS2602:832
MQ3:170, MQ135:1940, MQ138:3008, MQ131:1126, TGS2602:831
MQ3:170, MQ135:2010, MQ138:3011, MQ131:1117, TGS2602:828
MQ3:170, MQ135:1949, MQ138:3010, MQ131:1106, TGS2602:825
MQ3:168, MQ135:2009, MQ138:3013, MQ131:1098, TGS2602:822
MQ3:167, MQ135:2006, MQ138:3012, MQ131:1094, TGS2602:821
MQ3:168, MQ135:1946, MQ138:3013, MQ131:1093, TGS2602:818
MQ3:168, MQ135:1943, MQ138:3015, MQ131:1091, TGS2602:817
MQ3:167, MQ135:1986, MQ138:3014, MQ131:1090, TGS2602:817
MQ3:167, MQ135:1911, MQ138:3011, MQ131:1090, TGS2602:815
MQ3:165, MQ135:2021, MQ138:3010, MQ131:1090, TGS2602:814
MQ3:166, MQ135:2019, MQ138:3014, MQ131:1088, TGS2602:813
MQ3:165, MQ135:2002, MQ138:3011, MQ131:1087, TGS2602:811
MQ3:165, MQ135:1953, MQ138:3012, MQ131:1085, TGS2602:810
MQ3:166, MQ135:1998, MQ138:3011, MQ131:1085, TGS2602:806
MQ3:166, MQ135:1920, MQ138:3006, MQ131:1088, TGS2602:803
MQ3:166, MQ135:1925, MQ138:3010, MQ131:1087, TGS2602:801
MQ3:166, MQ135:2007, MQ138:3012, MQ131:1088, TGS2602:801
MQ3:165, MQ135:2008, MQ138:3010, MQ131:1104, TGS2602:799
MQ3:169, MQ135:1916, MQ138:3012, MQ131:1108, TGS2602:799
MQ3:168, MQ135:2017, MQ138:3010, MQ131:1105, TGS2602:799
MQ3:168, MQ135:1971, MQ138:3010, MQ131:1100, TGS2602:797
MQ3:168, MQ135:2016, MQ138:3011, MQ131:1105, TGS2602:797
MQ3:201, MQ135:1921, MQ138:3011, MQ131:1128, TGS2602:796
MQ3:280, MQ135:1918, MQ138:3012, MQ131:1147, TGS2602:799
MQ3:336, MQ135:2009, MQ138:3010, MQ131:1181, TGS2602:808
MQ3:368, MQ135:1971, MQ138:3010, MQ131:1204, TGS2602:836
MQ3:391, MQ135:2014, MQ138:3012, MQ131:1241, TGS2602:928
MQ3:378, MQ135:1986, MQ138:3015, MQ131:1276, TGS2602:1051
MQ3:522, MQ135:1952, MQ138:3016, MQ131:1302, TGS2602:1166
MQ3:848, MQ135:1951, MQ138:3019, MQ131:1539, TGS2602:1258
MQ3:966, MQ135:1977, MQ138:3019, MQ131:1581, TGS2602:1327
MQ3:947, MQ135:2028, MQ138:3021, MQ131:1542, TGS2602:1426
MQ3:872, MQ135:1991, MQ138:3022, MQ131:1491, TGS2602:1510
MQ3:748, MQ135:2001, MQ138:3024, MQ131:1427, TGS2602:1553
MQ3:650, MQ135:2013, MQ138:3023, MQ131:1373, TGS2602:1559
MQ3:578, MQ135:2025, MQ138:3021, MQ131:1333, TGS2602:1545
MQ3:527, MQ135:1976, MQ138:3020, MQ131:1295, TGS2602:1522
MQ3:486, MQ135:1969, MQ138:3022, MQ131:1263, TGS2602:1496
MQ3:453, MQ135:1964, MQ138:3024, MQ131:1239, TGS2602:1464
MQ3:427, MQ135:2023, MQ138:3021, MQ131:1217, TGS2602:1430
MQ3:400, MQ135:1985, MQ138:3020, MQ131:1200, TGS2602:1394
MQ3:382, MQ135:1949, MQ138:3019, MQ131:1189, TGS2602:1360
MQ3:368, MQ135:2017, MQ138:3020, MQ131:1177, TGS2602:1323
MQ3:357, MQ135:2023, MQ138:3018, MQ131:1168, TGS2602:1290
MQ3:344, MQ135:2011, MQ138:3019, MQ131:1161, TGS2602:1254
MQ3:331, MQ135:1974, MQ138:3015, MQ131:1154, TGS2602:1220
MQ3:323, MQ135:2024, MQ138:3017, MQ131:1155, TGS2602:1190
MQ3:314, MQ135:1917, MQ138:3015, MQ131:1163, TGS2602:1161
MQ3:308, MQ135:1938, MQ138:3017, MQ131:1154, TGS2602:1135
MQ3:302, MQ135:2019, MQ138:3016, MQ131:1146, TGS2602:1108
MQ3:297, MQ135:2020, MQ138:3020, MQ131:1140, TGS2602:1085
MQ3:291, MQ135:1950, MQ138:3016, MQ131:1136, TGS2602:1063
MQ3:284, MQ135:2023, MQ138:3016, MQ131:1134, TGS2602:1044
MQ3:279, MQ135:2018, MQ138:3015, MQ131:1129, TGS2602:1026
MQ3:275, MQ135:1916, MQ138:3015, MQ131:1126, TGS2602:1008
MQ3:275, MQ135:2014, MQ138:3015, MQ131:1138, TGS2602:1006
MQ3:268, MQ135:1930, MQ138:3015, MQ131:1143, TGS2602:997
MQ3:263, MQ135:2012, MQ138:3013, MQ131:1142, TGS2602:975
MQ3:267, MQ135:1922, MQ138:3012, MQ131:1151, TGS2602:952
MQ3:261, MQ135:1932, MQ138:3014, MQ131:1152, TGS2602:945
MQ3:251, MQ135:2012, MQ138:3017, MQ131:1131, TGS2602:916
MQ3:246, MQ135:2025, MQ138:3014, MQ131:1128, TGS2602:897
MQ3:245, MQ135:1982, MQ138:3015, MQ131:1127, TGS2602:890
MQ3:250, MQ135:2009, MQ138:3012, MQ131:1138, TGS2602:886
MQ3:247, MQ135:2024, MQ138:3011, MQ131:1136, TGS2602:877
MQ3:240, MQ135:1947, MQ138:3013, MQ131:1140, TGS2602:869
MQ3:236, MQ135:1985, MQ138:3011, MQ131:1130, TGS2602:861
MQ3:232, MQ135:1914, MQ138:3012, MQ131:1122, TGS2602:853
MQ3:227, MQ135:1927, MQ138:3010, MQ131:1126, TGS2602:848
MQ3:226, MQ135:1950, MQ138:3013, MQ131:1135, TGS2602:844
MQ3:226, MQ135:1920, MQ138:3011, MQ131:1131, TGS2602:840
MQ3:222, MQ135:2014, MQ138:3009, MQ131:1124, TGS2602:838
MQ3:221, MQ135:1983, MQ138:3007, MQ131:1126, TGS2602:831
MQ3:219, MQ135:1952, MQ138:3015, MQ131:1122, TGS2602:827
MQ3:216, MQ135:2019, MQ138:3015, MQ131:1121, TGS2602:823
MQ3:216, MQ135:2011, MQ138:3015, MQ131:1123, TGS2602:820
MQ3:213, MQ135:1940, MQ138:3017, MQ131:1118, TGS2602:818
MQ3:211, MQ135:1942, MQ138:3015, MQ131:1123, TGS2602:818
MQ3:212, MQ135:2013, MQ138:3015, MQ131:1132, TGS2602:814
MQ3:209, MQ135:1920, MQ138:3013, MQ131:1121, TGS2602:814
MQ3:208, MQ135:2021, MQ138:3012, MQ131:1110, TGS2602:810
MQ3:206, MQ135:1946, MQ138:3017, MQ131:1104, TGS2602:810
